activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,True,True,False,False,True,False,False,False,False,False,a0r,Scheduled Conductor History,Scheduled Conductor History,True,False,False,APXT_BPM__Scheduled_Conductor_History__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/describe', 'quickActions': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/APXT_BPM__Scheduled_Conductor_History__c'})"
False,ChangeEvent,APXT_CMQM__QuickMerge_Link__c,False,False,False,False,False,False,False,False,False,False,,Change Event: QuickMerge Link,Change Event: QuickMerge Link,False,False,False,APXT_CMQM__QuickMerge_Link__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0Z,QuickMerge Link,QuickMerge Links,True,False,True,APXT_CMQM__QuickMerge_Link__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/describe', 'quickActions': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/APXT_CMQM__QuickMerge_Link__c'})"
False,ChangeEvent,APXT_CMQR__Conga_Merge_Query__c,False,False,False,False,False,False,False,False,False,False,,Change Event: Conga Query,Change Event: Conga Query,False,False,False,APXT_CMQR__Conga_Merge_Query__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0c,Conga Query,Conga Queries,True,False,True,APXT_CMQR__Conga_Merge_Query__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/describe', 'quickActions': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/APXT_CMQR__Conga_Merge_Query__c'})"
False,ChangeEvent,APXT_CMTR__Conga_Merge_Template__c,False,False,False,False,False,False,False,False,False,False,,Change Event: Conga Template,Change Event: Conga Template,False,False,False,APXT_CMTR__Conga_Merge_Template__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0Y,Conga Template,Conga Templates,True,False,True,APXT_CMTR__Conga_Merge_Template__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/describe', 'quickActions': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/APXT_CMTR__Conga_Merge_Template__c'})"
False,ChangeEvent,ASPIRAX__Relation__c,False,False,False,False,False,False,False,False,False,False,,Change Event: Relation,Change Event: Relation,False,False,False,ASPIRAX__Relation__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ASPIRAX__Relation__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/ASPIRAX__Relation__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/ASPIRAX__Relation__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/ASPIRAX__Relation__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0X,Relation,Relations,True,False,False,ASPIRAX__Relation__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/describe', 'quickActions': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/ASPIRAX__Relation__c'})"
False,,,False,False,False,False,False,False,False,False,False,False,,Accepted Event Relation,Accepted Event Relations,False,False,False,AcceptedEventRelation,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AcceptedEventRelation/{ID}', 'describe': '/services/data/v59.0/sobjects/AcceptedEventRelation/describe', 'sobject': '/services/data/v59.0/sobjects/AcceptedEventRelation'})"
