CreditNoteID,StatusCode,ErrorMessage,FullResponse
15131,400,Invalid or missing State/Province. Address is incomplete or invalid.,"{""error"":{""code"":""GetTaxError"",""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""target"":""Unknown"",""details"":[{""code"":""GetTaxError"",""number"":300,""message"":""Invalid or missing State/Province. Address is incomplete or invalid."",""description"":""State is invalid for the taxing address."",""faultCode"":""GetTaxError"",""faultSubCode"":""TaxAddressError"",""helpLink"":""https://developer.avalara.com/avatax/errors/GetTaxError"",""refersTo"":""Addresses[1] - TaxDate: 2025-05-19 00:00:00Z"",""severity"":""Error""}]}}"
15194,400,The address value was incomplete.,"{""error"":{""code"":""InvalidAddress"",""message"":""The address value was incomplete."",""target"":""IncorrectData"",""details"":[{""code"":""InvalidAddress"",""number"":309,""message"":""The address value was incomplete."",""description"":""The address value ShipTo was incomplete. You must provide either a valid postal code, line1 + city + region, or line1 + postal code."",""faultCode"":""Client"",""helpLink"":""https://developer.avalara.com/avatax/errors/InvalidAddress"",""severity"":""Error""}]}}"
